"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,5,4",12,3,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.71,0.93,0.81,96
"3,3,2",8,3,"sse","tanh","rprop+",0.62,0.75,0.00652847426346358,0.74,0.92,0.82,96
"5,2,4",11,3,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.74,0.88,0.8,96
"3,1,1",5,3,"sse","tanh","rprop+",0.62,0.64,0.461530549021629,0.77,0.6,0.67,96
"3",3,1,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.72,0.95,0.82,96
"5,3,1",9,3,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"2,1",3,2,"sse","tanh","rprop+",0.62,0.66,0.301426246286922,0.81,0.58,0.68,96
"2,2,1,2",7,4,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.71,0.93,0.81,96
"4,2",6,2,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.72,0.97,0.82,96
"4,4,4,3",15,4,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.7,0.97,0.81,96
"5,2,3",10,3,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.74,0.9,0.81,96
"4,4",8,2,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.72,0.97,0.82,96
"5,4,4,5",18,4,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.72,0.95,0.82,96
"1,5",6,2,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.73,0.9,0.81,96
"3,3,1",7,3,"sse","tanh","rprop+",0.62,0.75,0.00652847426346358,0.74,0.92,0.82,96
"3,2",5,2,"sse","tanh","rprop+",0.62,0.77,0.00166959221198227,0.74,0.97,0.84,96
"1",1,1,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"3,2,3",8,3,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.71,0.93,0.81,96
"2",2,1,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.72,0.92,0.81,96
"2,1,1,1",5,4,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"4,2,3",9,3,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.72,0.97,0.82,96
"4,4,4",12,3,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.73,0.92,0.81,96
"2,2",4,2,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.72,0.92,0.81,96
"3,4",7,2,"sse","tanh","rprop+",0.62,0.75,0.00652847426346358,0.74,0.93,0.82,96
"2,4",6,2,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.72,0.93,0.81,96
"5,4,3,2",14,4,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.72,0.93,0.81,96
"2,1,1,5",9,4,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"5,2,1",8,3,"sse","tanh","rprop+",0.62,0.75,0.00652847426346358,0.72,0.97,0.83,96
"2,3,2,4",11,4,"sse","tanh","rprop+",0.62,0.76,0.00338955046029425,0.75,0.92,0.83,96
"1,2",3,2,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.75,0.88,0.81,96
"3,3,5,4",15,4,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.71,0.95,0.81,96
"2,4,3,4",13,4,"sse","tanh","rprop+",0.62,0.69,0.122396905007412,0.7,0.87,0.78,96
"4",4,1,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.71,0.97,0.82,96
"1,1,4,3",9,4,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.66,0.82,0.73,96
"2,2,5",9,3,"sse","tanh","rprop+",0.62,0.69,0.122396905007412,0.7,0.87,0.78,96
"3,3,4,3",13,4,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.72,0.97,0.82,96
"5",5,1,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.71,0.97,0.82,96
"1,2,1",4,3,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"3,3,2,1",9,4,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"2,4,3",9,3,"sse","tanh","rprop+",0.62,0.69,0.122396905007412,0.68,0.93,0.79,96
"3,2,5,4",14,4,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.7,0.95,0.81,96
"4,3,3,4",14,4,"sse","tanh","rprop+",0.62,0.77,0.00166959221198227,0.74,0.97,0.84,96
"1,1",2,2,"sse","tanh","rprop+",0.62,0.56,0.913708073994027,0.64,0.7,0.67,96
"4,3",7,2,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.72,0.97,0.82,96
"2,4,2,3",11,4,"sse","tanh","rprop+",0.62,0.62,0.545396819512299,0.62,1,0.77,96
"3,3,3",9,3,"sse","tanh","rprop+",0.62,0.73,0.0208396488314149,0.73,0.9,0.81,96
"2,3,2",7,3,"sse","tanh","rprop+",0.62,0.7,0.0838618873562475,0.69,0.93,0.79,96
"5,3,2",10,3,"sse","tanh","rprop+",0.62,0.71,0.0551044114971701,0.7,0.93,0.8,96
"3,2,4,1",10,4,"sse","tanh","rprop+",0.62,0.76,0.00338955046029425,0.74,0.95,0.83,96
"2,2,4,1",9,4,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.72,0.97,0.82,96
"4,5,2",11,3,"sse","tanh","rprop+",0.62,0.77,0.00166959221198227,0.74,0.97,0.84,96
"4,5,4,4",17,4,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.71,0.92,0.8,96
"4,3,4",11,3,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.71,0.93,0.81,96
"2,5,5",12,3,"sse","tanh","rprop+",0.62,0.72,0.034664048754198,0.7,0.95,0.81,96
"3,4,3",10,3,"sse","tanh","rprop+",0.62,0.7,0.0838618873562475,0.71,0.87,0.78,96
"1,2,2",5,3,"sse","tanh","rprop+",0.62,0.75,0.00652847426346358,0.75,0.9,0.82,96
"4,1,4,3",12,4,"sse","tanh","rprop+",0.62,0.68,0.17162228239406,0.68,0.92,0.78,96
"5,2",7,2,"sse","tanh","rprop+",0.62,0.74,0.0119525345953402,0.72,0.97,0.82,96
"5,1",6,2,"sse","tanh","rprop+",0.62,0.71,0.0551044114971701,0.71,0.92,0.8,96
"5,3",8,2,"sse","tanh","rprop+",0.62,0.76,0.00338955046029425,0.75,0.93,0.83,96
"1,3,3",7,3,"sse","tanh","rprop+",0.62,0.56,0.913708073994027,0.64,0.7,0.67,96
"4,2,3,2",11,4,"sse","tanh","rprop+",0.62,0.77,0.00166959221198227,0.76,0.93,0.84,96
"5,4",9,2,"sse","tanh","rprop+",0.62,0.78,0.00077862284911796,0.76,0.95,0.84,96
