"hidden.structure","hidden.size","hidden.depth","err.fct","act.fct.name","algorithm","baseline","accuracy","accuracy.pvalue","precision","recall","f1","test.n"
"3,3,2",8,3,"sse","tanh","rprop+",0.53,0.72,6.34704812014771e-20,0.69,0.73,0.71,534
"3,1,1",5,3,"sse","tanh","rprop+",0.53,0.7,8.44108980966735e-17,0.73,0.6,0.66,534
"3",3,1,"sse","tanh","rprop+",0.53,0.73,3.4804977657114e-22,0.72,0.7,0.71,534
"5,3,1",9,3,"sse","tanh","rprop+",0.53,0.72,6.34704812014771e-20,0.72,0.68,0.7,534
"2,1",3,2,"sse","tanh","rprop+",0.53,0.72,2.72772207071226e-20,0.74,0.64,0.68,534
"4,2",6,2,"sse","tanh","rprop+",0.53,0.74,2.27121603418129e-23,0.72,0.72,0.72,534
"4,4",8,2,"sse","tanh","rprop+",0.53,0.71,7.56965222686874e-19,0.69,0.72,0.71,534
"1,5",6,2,"sse","tanh","rprop+",0.53,0.73,5.69512576330341e-23,0.72,0.72,0.72,534
"3,3,1",7,3,"sse","tanh","rprop+",0.53,0.73,3.4804977657114e-22,0.7,0.74,0.72,534
"3,2",5,2,"sse","tanh","rprop+",0.53,0.73,1.4145706140463e-22,0.71,0.74,0.72,534
"1",1,1,"sse","tanh","rprop+",0.53,0.73,2.04849776025383e-21,0.74,0.65,0.69,534
"4,4",8,2,"sse","tanh","rprop+",0.53,0.73,2.04849776025383e-21,0.72,0.7,0.71,534
"2",2,1,"sse","tanh","rprop+",0.53,0.74,3.51010906100335e-24,0.77,0.65,0.7,534
"2,1,1,1",5,4,"sse","tanh","rprop+",0.53,0.73,2.04849776025383e-21,0.73,0.66,0.7,534
"4,2,3",9,3,"sse","tanh","rprop+",0.53,0.71,1.81747052460583e-17,0.69,0.7,0.69,534
"2,2",4,2,"sse","tanh","rprop+",0.53,0.73,3.4804977657114e-22,0.71,0.73,0.72,534
"3,4",7,2,"sse","tanh","rprop+",0.53,0.72,4.90060169929536e-21,0.69,0.75,0.72,534
"2,4",6,2,"sse","tanh","rprop+",0.53,0.75,1.02676722105877e-26,0.74,0.72,0.73,534
"2,1,1,5",9,4,"sse","tanh","rprop+",0.53,0.72,4.90060169929536e-21,0.74,0.65,0.69,534
"5,2,1",8,3,"sse","tanh","rprop+",0.53,0.71,3.77631208520724e-18,0.67,0.75,0.71,534
"4,2",6,2,"sse","tanh","rprop+",0.53,0.72,4.90060169929536e-21,0.71,0.7,0.71,534
"1,2",3,2,"sse","tanh","rprop+",0.53,0.74,2.27121603418129e-23,0.74,0.68,0.71,534
"5,1,4",10,3,"sse","tanh","rprop+",0.53,0.72,3.34343605454882e-19,0.69,0.73,0.71,534
"3",3,1,"sse","tanh","rprop+",0.53,0.72,4.90060169929536e-21,0.7,0.72,0.71,534
"4",4,1,"sse","tanh","rprop+",0.53,0.74,2.27121603418129e-23,0.73,0.71,0.72,534
"1,2",3,2,"sse","tanh","rprop+",0.53,0.72,6.34704812014771e-20,0.71,0.69,0.7,534
"2,2",4,2,"sse","tanh","rprop+",0.53,0.72,2.72772207071226e-20,0.7,0.73,0.71,534
"3",3,1,"sse","tanh","rprop+",0.53,0.73,8.48344369907254e-22,0.71,0.73,0.72,534
"5",5,1,"sse","tanh","rprop+",0.53,0.74,8.97161723955623e-24,0.73,0.71,0.72,534
"1,2,1",4,3,"sse","tanh","rprop+",0.53,0.73,2.04849776025383e-21,0.74,0.65,0.69,534
"3,3,2,1",9,4,"sse","tanh","rprop+",0.53,0.73,2.04849776025383e-21,0.71,0.71,0.71,534
"2,4,3",9,3,"sse","tanh","rprop+",0.53,0.69,2.76569760402847e-14,0.67,0.66,0.67,534
"1,1",2,2,"sse","tanh","rprop+",0.53,0.72,4.90060169929536e-21,0.74,0.64,0.69,534
"4,3",7,2,"sse","tanh","rprop+",0.53,0.73,5.69512576330341e-23,0.7,0.76,0.73,534
"1,5,3,4",13,4,"sse","tanh","rprop+",0.53,0.73,8.48344369907254e-22,0.75,0.63,0.69,534
"2",2,1,"sse","tanh","rprop+",0.53,0.74,2.27121603418129e-23,0.72,0.72,0.72,534
"2,3,2",7,3,"sse","tanh","rprop+",0.53,0.73,8.48344369907254e-22,0.73,0.68,0.7,534
"4,2",6,2,"sse","tanh","rprop+",0.53,0.74,3.51010906100335e-24,0.72,0.75,0.73,534
"3,2",5,2,"sse","tanh","rprop+",0.53,0.74,8.97161723955623e-24,0.71,0.75,0.73,534
"3",3,1,"sse","tanh","rprop+",0.53,0.74,3.51010906100335e-24,0.72,0.74,0.73,534
"2,1",3,2,"sse","tanh","rprop+",0.53,0.73,5.69512576330341e-23,0.75,0.66,0.7,534
"3,4",7,2,"sse","tanh","rprop+",0.53,0.72,6.34704812014771e-20,0.7,0.71,0.71,534
"3,3,2",8,3,"sse","tanh","rprop+",0.53,0.71,7.56965222686874e-19,0.69,0.72,0.71,534
"5,3,2",10,3,"sse","tanh","rprop+",0.53,0.73,2.04849776025383e-21,0.73,0.68,0.7,534
"2,2,4,1",9,4,"sse","tanh","rprop+",0.53,0.7,3.93422208952937e-17,0.73,0.6,0.66,534
"4,5,2",11,3,"sse","tanh","rprop+",0.53,0.72,1.1615335487299e-20,0.69,0.76,0.72,534
"4,1",5,2,"sse","tanh","rprop+",0.53,0.73,1.4145706140463e-22,0.71,0.74,0.72,534
"4",4,1,"sse","tanh","rprop+",0.53,0.72,1.46340261398682e-19,0.69,0.74,0.71,534
"4,3,4",11,3,"sse","tanh","rprop+",0.53,0.69,6.8481345023801e-15,0.67,0.68,0.67,534
"2,5,5",12,3,"sse","tanh","rprop+",0.53,0.71,3.77631208520724e-18,0.68,0.72,0.7,534
"2,2",4,2,"sse","tanh","rprop+",0.53,0.72,1.46340261398682e-19,0.7,0.7,0.7,534
"4",4,1,"sse","tanh","rprop+",0.53,0.73,1.4145706140463e-22,0.71,0.74,0.72,534
"3,4,3",10,3,"sse","tanh","rprop+",0.53,0.73,1.4145706140463e-22,0.71,0.74,0.72,534
"1,2,2",5,3,"sse","tanh","rprop+",0.53,0.73,3.4804977657114e-22,0.74,0.66,0.7,534
"2,3",5,2,"sse","tanh","rprop+",0.53,0.73,3.4804977657114e-22,0.74,0.67,0.7,534
"4,1,4,3",12,4,"sse","tanh","rprop+",0.53,0.72,4.90060169929536e-21,0.7,0.73,0.72,534
"5,2",7,2,"sse","tanh","rprop+",0.53,0.73,3.4804977657114e-22,0.71,0.73,0.72,534
"1",1,1,"sse","tanh","rprop+",0.53,0.72,4.90060169929536e-21,0.74,0.64,0.69,534
"5,1",6,2,"sse","tanh","rprop+",0.53,0.73,5.69512576330341e-23,0.71,0.75,0.73,534
"5,1,4",10,3,"sse","tanh","rprop+",0.53,0.73,8.48344369907254e-22,0.7,0.75,0.72,534
"5,3",8,2,"sse","tanh","rprop+",0.53,0.73,3.4804977657114e-22,0.71,0.74,0.72,534
"1,3,3",7,3,"sse","tanh","rprop+",0.53,0.73,5.69512576330341e-23,0.73,0.7,0.71,534
"3,4",7,2,"sse","tanh","rprop+",0.53,0.73,3.4804977657114e-22,0.71,0.72,0.72,534
"2",2,1,"sse","tanh","rprop+",0.53,0.73,3.4804977657114e-22,0.75,0.64,0.69,534
"2,4",6,2,"sse","tanh","rprop+",0.53,0.73,2.04849776025383e-21,0.7,0.73,0.72,534
"2,1",3,2,"sse","tanh","rprop+",0.53,0.73,1.4145706140463e-22,0.74,0.68,0.71,534
"5,4",9,2,"sse","tanh","rprop+",0.53,0.72,3.34343605454882e-19,0.69,0.74,0.71,534
"2,3,2",7,3,"sse","tanh","rprop+",0.53,0.73,3.4804977657114e-22,0.7,0.74,0.72,534
"1,2,3,2",8,4,"sse","tanh","rprop+",0.53,0.73,1.4145706140463e-22,0.71,0.72,0.72,534
"1,4,3",8,3,"sse","tanh","rprop+",0.53,0.74,8.97161723955623e-24,0.73,0.71,0.72,534
